Number of tests,22-Aug,0
Number of tests,23-Aug,"1,126"
Number of tests,24-Aug,"1,475"
Number of tests,25-Aug,"2,025"
Number of tests,26-Aug,"1,255"
Number of tests,27-Aug,"1,689"
Number of tests,28-Aug,"1,646"
Number of student tests,22-Aug,0
Number of student tests,23-Aug,"1,126"
Number of student tests,24-Aug,"1,468"
Number of student tests,25-Aug,"1,992"
Number of student tests,26-Aug,"1,183"
Number of student tests,27-Aug,"1,614"
Number of student tests,28-Aug,"1,623"
Number of employee tests,22-Aug,
Number of employee tests,23-Aug,0
Number of employee tests,24-Aug,7
Number of employee tests,25-Aug,33
Number of employee tests,26-Aug,72
Number of employee tests,27-Aug,75
Number of employee tests,28-Aug,23
"New Confirmed Positive, Total",22-Aug,0
"New Confirmed Positive, Total",23-Aug,0
"New Confirmed Positive, Total",24-Aug,1
"New Confirmed Positive, Total",25-Aug,2
"New Confirmed Positive, Total",26-Aug,0
"New Confirmed Positive, Total",27-Aug,1
"New Confirmed Positive, Total",28-Aug,9
Number of tests,Total,"9,216"
Number of student tests,Total,"9,006"
Number of employee tests,Total,210
"New Confirmed Positive, Total",Total,13
