Number of tests,9/22/20,"5,286"
Number of tests,9/23/20,"5,227"
Number of tests,9/24/20,"5,884"
Number of tests,9/25/20,"5,772"
Number of tests,9/26/20,"2,677"
Number of tests,9/27/20,"3,107"
Number of tests,9/28/20,"6,278"
Number of student tests,9/22/20,"4,169"
Number of student tests,9/23/20,"3,907"
Number of student tests,9/24/20,"4,741"
Number of student tests,9/25/20,"4,545"
Number of student tests,9/26/20,"2,572"
Number of student tests,9/27/20,"3,025"
Number of student tests,9/28/20,"5,051"
Number of employee tests,9/22/20,"1,117"
Number of employee tests,9/23/20,"1,320"
Number of employee tests,9/24/20,"1,143"
Number of employee tests,9/25/20,"1,227"
Number of employee tests,9/26/20,105
Number of employee tests,9/27/20,82
Number of employee tests,9/28/20,"1,227"
"New Confirmed Positive, Total",9/22/20,1
"New Confirmed Positive, Total",9/23/20,1
"New Confirmed Positive, Total",9/24/20,0
"New Confirmed Positive, Total",9/25/20,1
"New Confirmed Positive, Total",9/26/20,1
"New Confirmed Positive, Total",9/27/20,0
"New Confirmed Positive, Total",9/28/20,1
Number of tests,Total,"34,231"
Number of student tests,Total,"28,010"
Number of employee tests,Total,"6,221"
"New Confirmed Positive, Total",Total,5
