Number of tests,01/20/2021,"2,808"
Number of tests,01/21/2021,"2,836"
Number of tests,01/22/2021,"2,489"
Number of tests,01/23/2021,"1,601"
Number of tests,01/24/2021,"1,565"
Number of tests,01/25/2021,"3,643"
Number of tests,01/26/2021,"3,299"
Number of student tests,01/20/2021,"1,367"
Number of student tests,01/21/2021,"1,237"
Number of student tests,01/22/2021,"1,239"
Number of student tests,01/23/2021,"1,402"
Number of student tests,01/24/2021,"1,457"
Number of student tests,01/25/2021,"2,079"
Number of student tests,01/26/2021,"2,072"
Number of employee tests,01/20/2021,"1,441"
Number of employee tests,01/21/2021,"1,599"
Number of employee tests,01/22/2021,"1,250"
Number of employee tests,01/23/2021,199
Number of employee tests,01/24/2021,108
Number of employee tests,01/25/2021,"1,564"
Number of employee tests,01/26/2021,"1,227"
"New Confirmed Positive, Total",01/20/2021,7
"New Confirmed Positive, Total",01/21/2021,10
"New Confirmed Positive, Total",01/22/2021,8
"New Confirmed Positive, Total",01/23/2021,7
"New Confirmed Positive, Total",01/24/2021,7
"New Confirmed Positive, Total",01/25/2021,8
"New Confirmed Positive, Total",01/26/2021,8
Number of tests,Total,"18,241"
Number of student tests,Total,"10,853"
Number of employee tests,Total,"7,388"
New confirmed positives,Total,55
